 main 		 ~~~ palabra reservada ~~~ 1
 3		 ~~~ entero ~~~ 18
 ;		  ~~~ simbolo especial ~~~ 18
 }		  ~~~ simbolo especial ~~~ 19
 else 		 ~~~ palabra reservada ~~~ 19
 {		  ~~~ simbolo especial ~~~ 19
 if 		 ~~~ palabra reservada ~~~ 20
 (		  ~~~ simbolo especial ~~~ 20
 4		 ~~~ entero ~~~ 20
 >		 ~~~ operador relacional ~~~ 20
 2		 ~~~ entero ~~~ 20
 )		  ~~~ simbolo especial ~~~ 20
 {		  ~~~ simbolo especial ~~~ 20
 b 		 ~~~ identificador ~~~ 21
 = 		 ~~~ operador aritmetico ~~~ 21
 3.2		 ~~~ flotante ~~~ 21
 ;		  ~~~ simbolo especial ~~~ 21
 }		  ~~~ simbolo especial ~~~ 22
 else 		 ~~~ palabra reservada ~~~ 22
 {		  ~~~ simbolo especial ~~~ 22
 b 		 ~~~ identificador ~~~ 23
 = 		 ~~~ operador aritmetico ~~~ 23
 5.0		 ~~~ flotante ~~~ 23
 ;		  ~~~ simbolo especial ~~~ 23
 }		  ~~~ simbolo especial ~~~ 24
 end 		 ~~~ palabra reservada ~~~ 24
 y 		 ~~~ identificador ~~~ 25
 = 		 ~~~ operador aritmetico ~~~ 25
 y 		 ~~~ identificador ~~~ 25
 + 		 ~~~ operador aritmetico ~~~ 25
 1		 ~~~ entero ~~~ 25
 ;		  ~~~ simbolo especial ~~~ 25
 }		  ~~~ simbolo especial ~~~ 26
 end 		 ~~~ palabra reservada ~~~ 26
 a 		 ~~~ identificador ~~~ 27
 ++		 ~~~ operador doble ~~~ 27
 ;		  ~~~ simbolo especial ~~~ 27
 c 		 ~~~ identificador ~~~ 28
 --		 ~~~ operador doble ~~~ 28
 ;		  ~~~ simbolo especial ~~~ 28
 x 		 ~~~ identificador ~~~ 29
 = 		 ~~~ operador aritmetico ~~~ 29
 3		 ~~~ entero ~~~ 29
 + 		 ~~~ operador aritmetico ~~~ 29
 4		 ~~~ entero ~~~ 29
 ;		  ~~~ simbolo especial ~~~ 29
 do 		 ~~~ palabra reservada ~~~ 30
 {		  ~~~ simbolo especial ~~~ 30
 y 		 ~~~ identificador ~~~ 31
 = 		 ~~~ operador aritmetico ~~~ 31
 (		  ~~~ simbolo especial ~~~ 31
 y 		 ~~~ identificador ~~~ 31
 + 		 ~~~ operador aritmetico ~~~ 31
 1		 ~~~ entero ~~~ 31
 )		  ~~~ simbolo especial ~~~ 31
 * 		 ~~~ operador aritmetico ~~~ 31
 2		 ~~~ entero ~~~ 31
 + 		 ~~~ operador aritmetico ~~~ 31
 1		 ~~~ entero ~~~ 31
 ;		  ~~~ simbolo especial ~~~ 31
 while 		 ~~~ palabra reservada ~~~ 32
 (		  ~~~ simbolo especial ~~~ 32
 x 		 ~~~ identificador ~~~ 32
 >		 ~~~ operador relacional ~~~ 32
 7		 ~~~ entero ~~~ 32
 )		  ~~~ simbolo especial ~~~ 32
 {		  ~~~ simbolo especial ~~~ 32
 x 		 ~~~ identificador ~~~ 33
 = 		 ~~~ operador aritmetico ~~~ 33
 6		 ~~~ entero ~~~ 33
 + 		 ~~~ operador aritmetico ~~~ 33
 8		 ~~~ entero ~~~ 33
 / 		 ~~~ operador aritmetico ~~~ 33
 9		 ~~~ entero ~~~ 33
 * 		 ~~~ operador aritmetico ~~~ 33
 8		 ~~~ entero ~~~ 33
 / 		 ~~~ operador aritmetico ~~~ 33
 3		 ~~~ entero ~~~ 33
 ;		  ~~~ simbolo especial ~~~ 33
 cin 		 ~~~ palabra reservada ~~~ 34
 x 		 ~~~ identificador ~~~ 34
 ;		  ~~~ simbolo especial ~~~ 34
 mas 		 ~~~ identificador ~~~ 35
 = 		 ~~~ operador aritmetico ~~~ 35
 36		 ~~~ entero ~~~ 35
 / 		 ~~~ operador aritmetico ~~~ 35
 7		 ~~~ entero ~~~ 35
 ;		  ~~~ simbolo especial ~~~ 35
 }		  ~~~ simbolo especial ~~~ 36
 }		  ~~~ simbolo especial ~~~ 37
 until 		 ~~~ palabra reservada ~~~ 37
 (		  ~~~ simbolo especial ~~~ 37
 y 		 ~~~ identificador ~~~ 37
 ==		 ~~~ operador relacional ~~~ 37
 5		 ~~~ entero ~~~ 37
 )		  ~~~ simbolo especial ~~~ 37
 ;		  ~~~ simbolo especial ~~~ 37
 while 		 ~~~ palabra reservada ~~~ 38
 (		  ~~~ simbolo especial ~~~ 38
 y 		 ~~~ identificador ~~~ 38
 ==		 ~~~ operador relacional ~~~ 38
 0		 ~~~ entero ~~~ 38
 )		  ~~~ simbolo especial ~~~ 38
 {		  ~~~ simbolo especial ~~~ 38
 cin 		 ~~~ palabra reservada ~~~ 39
 mas 		 ~~~ identificador ~~~ 39
 ;		  ~~~ simbolo especial ~~~ 39
 cout 		 ~~~ palabra reservada ~~~ 40
 x 		 ~~~ identificador ~~~ 40
 ;		  ~~~ simbolo especial ~~~ 40
 }		  ~~~ simbolo especial ~~~ 41
 }		  ~~~ simbolo especial ~~~ 42
